epoch,loss,accuracy,dice,iou,precision,recall,sensitivity,specificity,auc
40,0.4778966572549608,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
41,0.4770084818204244,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
42,0.4762532379892137,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
43,0.47554202212227714,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
44,0.47492392857869464,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
45,0.474376638730367,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
46,0.47389519876903957,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
47,0.47346705860561794,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
48,0.4730648464626736,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
49,0.47269776794645524,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
50,0.4723743266529507,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
51,0.4721082283390893,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
52,0.4718414809968736,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
53,0.47160226768917507,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
54,0.4713793496290843,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
55,0.4711794720755683,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
56,0.47100042303403217,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
57,0.47084246741400826,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
58,0.4707019892003801,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
